MFN,DATE,TIME,DOW,STR#,DIR,ROADWAY,SUF,MP,LATITUDE,LONGITUDE,INTERSECTION,#UNITS,#VEH#,#KILL,#INJURED,WEATHER,RD\COND,H&R,DIRECTIONAL ANALYSIS,MANNER,RDCHAR,LIGHT COND
72361205,6/2/2019,2037,Sunday,,,TATES CREEK,RD,7.312,37.96283321,-84.49458246,CLEARWATER WAY,2,2,0,1,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & GRADE,DAYLIGHT
72365079,6/10/2019,2113,Monday,,,DE ROODE,ST,0.341,38.04980143,-84.5120388,,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72375575,7/4/2019,1814,Thursday,,,VILLAGE,DR,0.311,38.04887251,-84.54921499,DEVONPORT DR,2,2,0,1,CLEAR,DRY,TRUE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72378150,7/11/2019,1440,Thursday,,,ALEXANDRIA,DR,4.104,38.03173998,-84.54885917,LANE ALLEN RD,1,1,0,1,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72383937,7/24/2019,2154,Wednesday,,,CAULDER,RD,0.128,37.97871439,-84.48237895,HOT SPRINGS CT,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON
72392613,8/13/2019,1248,Tuesday,,,LIBERTY,RD,0.67,38.03499327,-84.46120239,,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
72399462,8/28/2019,605,Wednesday,,,SARON,DR,0.009,37.96815465,-84.50251636,MAN O WAR BLVD,1,1,0,0,CLEAR,WET,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72401902,9/3/2019,1016,Tuesday,,,EASTLAND,DR,0.711,38.04598589,-84.45424825,NEW CIRCLE RD,1,1,0,1,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
72408907,9/18/2019,1812,Wednesday,3000,,TATES CREEK,RD,9.588,37.99351741,-84.49535242,,2,2,0,0,CLEAR,DRY,TRUE,COLLISION IN PARKING LOT,REAR END,STRAIGHT & LEVEL,DAYLIGHT
72409859,9/20/2019,1700,Friday,,E,LOUDON,AVE,0.512,38.05176912,-84.47522788,SHROPSHIRE AVE,2,2,0,1,CLEAR,DRY,TRUE,REAR END - ONE VEHICLE TURNING LEFT,REAR END,STRAIGHT & LEVEL,DAYLIGHT
