DATE,TIME,DOW,STR#,DIR,ROADWAY,SUF,MP,INTERSECTION,#UNITS,#VEH#,#KILL,#INJURED,WEATHER,RD\COND,H&R,DIRECTIONAL ANALYSIS,MANNER,RDCHAR,LIGHT COND
6/1/19,1756,Saturday,,,TRADE,ST,0.017,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
6/2/19,2035,Sunday,,,ROYAL,AVE,0.105,,2,1,0,1,CLOUDY,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
6/2/19,0140,Sunday,,,RICHMOND,RD,11.724,,2,1,0,1,CLEAR,DRY,true,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
6/11/19,1902,Tuesday,,,CITATION,BLVD,3.08,MAGNOLIA SPRINGS DR,2,1,0,1,CLEAR,DRY,true,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,,DAYLIGHT
6/18/19,1059,Tuesday,1700,,RALEIGH,RD,,,2,1,0,0,RAINING,WET,true,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/3/19,1200,Wednesday,,S,BROADWAY,,5.639,VIRGINIA AVE,2,1,0,1,CLOUDY,DRY,true,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
7/11/19,1736,Thursday,,,FT HARRODS,DR,0.108,MALONE DR,2,1,0,1,CLOUDY,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT
7/12/19,1335,Friday,,,BRYAN STATION,RD,0.164,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/17/19,0925,Wednesday,,,NEWTOWN,PIKE,14.654,MAIN ST,2,1,0,0,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/20/19,1452,Saturday,,E,6TH,ST,0.239,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
7/24/19,1655,Wednesday,,,BRYANWOOD,PKWY,0.001,BRYAN STATION RD,2,1,0,0,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
7/29/19,1603,Monday,6100,,MT HOREB,PIKE,1.204,,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT
7/31/19,1310,Wednesday,,E,MAIN,ST,12.91,ASHLAND AVE,2,1,0,0,CLOUDY,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
8/27/19,1745,Tuesday,200,W,NEW CIRCLE,RD,10.451,,2,1,0,0,CLEAR,DRY,false,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/3/19,,Tuesday,,,EUCLID,AVE,12.618,WOODLAND AVE,2,1,0,1,CLEAR,DRY,true,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/10/19,1946,Tuesday,,,ALEXANDRIA,DR,2.71,ROCKY POINT CT,2,1,0,1,CLEAR,DRY,false,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
9/18/19,1606,Wednesday,,S,MARTIN LUTHER KING,BLVD,0.305,MAXWELL ST,2,1,0,1,CLEAR,DRY,false,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
