"                                                                                                           COLLISION NARRATIVE SEARCH  RESULTS BASED ON THE KEYWORD ""SCOOTER"":  JUNE 1, 2019 - JUNE 30, 2022",,,,,,,,,,,,,,,,,,,,,,
MFN,DATE,TIME,DOW,STR#,DIR,ROADWAY,SUF,MP,LATITUDE,LONGITUDE,INTERSECTION,#UNITS,#VEH#,#KILL,#INJURED,WEATHER,RD\COND,H&R,DIRECTIONAL ANALYSIS,MANNER,RDCHAR,LIGHT COND
72375575,7/4/19,1814,Thursday,,,VILLAGE,DR,0.311,38.04887251,-84.54921499,DEVONPORT DR,2,2,0,1,CLEAR,DRY,true,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72387418,8/1/19,0814,Thursday,,,ALUMNI,DR,1.825,38.00716915,-84.48722702,OLD MT TABOR RD,2,2,0,0,CLEAR,DRY,false,OPPOSING LEFT TURN,OPPOSING LEFT TURN,CURVE & GRADE,DAYLIGHT
72392613,8/13/19,1248,Tuesday,,,LIBERTY,RD,0.67,38.03499327,-84.46120239,,1,1,0,1,CLEAR,DRY,false,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT
72419029,10/10/19,1943,Thursday,,,PINE,ST,0.075,38.04346996,-84.50320753,UPPER ST,2,2,0,2,CLEAR,DRY,false,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72425069,10/23/19,1518,Wednesday,,,VIRGINIA,AVE,0.024,38.0350012,-84.50874376,,2,2,0,0,CLEAR,DRY,true,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT
72425550,10/24/19,1147,Thursday,,,MANCHESTER,ST,7.603,38.05227767,-84.50826297,OLIVER LEWIS WAY,2,2,0,0,CLEAR,DRY,false,REAR END - ONE VEHICLE TURNING LEFT,REAR END,STRAIGHT & LEVEL,DAYLIGHT
72447760,12/8/19,0212,Sunday,,E,VINE,ST,13.849,38.04495615,-84.49747054,,2,2,0,0,CLEAR,DRY,true,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72450444,12/13/19,1125,Friday,,,TRANSYLVANIA,PARK,0.28,38.03751233,-84.49467869,MAXWELL ST,2,1,0,1,CLOUDY,DRY,false,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72481872,2/28/20,1500,Friday,,W,LOUDON,AVE,0.23,38.05979338,-84.48434366,BROADWAY ,2,1,0,1,CLOUDY,DRY,true,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72485005,3/7/20,1438,Saturday,,,DUNKIRK,DR,0.419,38.05606997,-84.53878767,RUGBY RD,2,2,0,1,CLEAR,DRY,false,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72490573,3/25/20,1615,Wednesday,1400,,VERSAILLES,RD,6.771,38.04943241,-84.5277009,,2,2,0,0,CLEAR,DRY,false,COLLISION IN PARKING LOT,BACKING,STRAIGHT & LEVEL,DAYLIGHT
72494947,4/17/20,1702,Friday,,N,MARTIN LUTHER KING,BLVD,0.611,38.04802478,-84.49090824,3RD ST,2,2,0,1,CLEAR,DRY,false,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72503404,5/21/20,1016,Thursday,,,CLAY,AVE,0.209,38.03415201,-84.48838105,,2,2,0,1,CLOUDY,DRY,false,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DAYLIGHT
72507336,6/3/20,2005,Wednesday,,,WILLY,ST,0.109,38.05778699,-84.49294238,,2,2,0,0,CLEAR,DRY,true,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DAYLIGHT
72507559,6/4/20,1500,Thursday,,W,NEW CIRCLE,RD,6.391,38.06176571,-84.5439207,,1,1,0,1,RAINING,WET,false,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT
72510184,6/11/20,2350,Thursday,,E,LOUDON,AVE,1.235,38.0444173,-84.46655264,,2,2,0,0,CLEAR,DRY,true,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72556887,10/25/20,2020,Sunday,,,WOODLAND,AVE,0.505,38.0344806,-84.49603849,EUCLID AVE,2,1,0,1,CLEAR,DRY,false,COLLISION WITH TRAIN,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72567651,11/22/20,1808,Sunday,3100,,RICHMOND,RD,9.861,38.00253071,-84.44713979,,2,2,0,0,RAINING,WET,true,COLLISION IN PARKING LOT,BACKING,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON
72603543,3/15/21,1930,Monday,,E,2ND,ST,0.388,38.04613756,-84.49078266,SPRUCE ST,2,2,0,0,CLOUDY,WET,true,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING)
72611621,4/8/21,1318,Thursday,3100,S,LOCUST HILL,DR,0.108,38.00203063,-84.44915902,,2,2,0,0,CLOUDY,DRY,true,COLLISION IN PARKING LOT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72613356,4/13/21,1414,Tuesday,100,,LEESTOWN CENTER,WAY,,38.0701432,-84.53351296,,2,2,0,0,CLOUDY,DRY,false,COLLISION IN PARKING LOT,ANGLE,STRAIGHT & LEVEL,DAYLIGHT
72627494,5/22/21,2018,Saturday,,,VERSAILLES,RD,5.864,38.04756987,-84.54344993,MASON HEADLEY RD,2,1,0,1,CLEAR,DRY,false,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT
72630464,5/30/21,1628,Sunday,,,LARKWOOD,DR,0.556,38.01238449,-84.44418277,SWEETWOOD PL,2,2,0,0,CLOUDY,DRY,true,REAR END - ONE VEHICLE TURNING RIGHT,REAR END,STRAIGHT & LEVEL,DAYLIGHT
